mu,sigma,final_mass,mean_mass,mass_std,mean_activity,classification,lyapunov,lyapunov_std,lyapunov_class,correlation_type,correlation_length,correlation_exponent,entropy,spatial_entropy,mutual_info,susceptibility
0.08,0.005,0.0,0.0,0.0,0.0,dead,,,,,,,,,,
0.08,0.0071428571428571435,0.0,0.0,0.0,0.0,dead,,,,,,,,,,
0.08,0.01142857142857143,2350.4758906200823,2350.3812573963346,7.220775494802828,6.7214312958019855,stable,0.07621588514261261,0.0013106603016748947,chaotic,exponential,1.3152857633297237,0.7602910545222058,0.8179518230191117,3.0101867662616346,0.037904195893294634,
0.08,0.009285714285714286,2216.090992029396,2212.5149327463705,6.4164941360773105,9.715959533277722,stable,0.08980121856593333,0.0029513315410906213,chaotic,exponential,1.075375798911892,0.9299074807261236,0.8107947894649526,3.007750633389514,0.027687729389324733,
0.08,0.015714285714285715,2605.218445081715,2607.7858401902945,3.6162550238898676,2.539758438220561,stable,0.06150383723765964,0.006636231615782233,chaotic,exponential,1.5985401773270274,0.6255707639905138,0.7710001768965735,2.9390625643909067,0.018954059636710152,
0.08,0.013571428571428571,2476.1848887459664,2473.401266797919,4.588172164973823,3.6704379536106604,stable,0.07489752023516917,0.001294450183143329,chaotic,exponential,1.45137170346469,0.689003373576057,0.7740530667025785,2.988354335357045,0.0173938266980993,
0.08,0.01785714285714286,2696.440666467388,2693.7664174339284,3.9597682238721648,2.979306131970747,stable,0.056714905649447755,0.004232766824172927,chaotic,exponential,1.80030359980694,0.5554618677134442,0.7928080241509853,2.927488226287442,0.03142404870327131,
0.08,0.02,2823.5153324980192,2819.853903181617,2.3875039032315173,1.7756806659444206,stable,0.059455720678708114,0.007832051724543732,chaotic,exponential,2.1331275281889677,0.4687952252198458,0.7723062873734985,2.856260811123999,0.05618684295130327,
0.08,0.022142857142857145,2927.306608638087,2922.9195001393823,2.171181434405255,2.3226277190287705,stable,0.05189668392847094,0.003670579301767062,chaotic,exponential,2.2317665483863203,0.44807553940758293,0.7990717596312215,2.9600176330628223,0.021626975593386444,
0.08,0.02428571428571429,3020.4187505186756,3018.322182455869,2.2293718000024736,0.8743985514652466,stable,0.04364204617404991,0.0017493272383504565,chaotic,exponential,2.263181543869239,0.4418558478920583,0.7522416092588217,2.714317181429527,0.03967779081859124,
0.08,0.02642857142857143,3066.9928057097873,3058.8733564093404,6.021084034746733,1.3434742141027924,stable,0.06513263109136783,0.006987179787681188,chaotic,exponential,2.2843716797657585,0.437757134207924,0.7747568514098728,2.885270554778029,0.03350881501747249,
0.08,0.028571428571428574,3106.0301743651466,3100.59570922356,4.595881079895553,1.154197246208887,stable,0.036476610659801824,0.0027947644400898317,chaotic,exponential,2.371120004521481,0.42174162340712545,0.7725988077001972,2.8256850541979963,0.019729753351111823,
0.09214285714285714,0.005,0.0,0.0,0.0,0.0,dead,,,,,,,,,,
0.09214285714285714,0.0071428571428571435,0.0,0.0,0.0,0.0,dead,,,,,,,,,,
0.08,0.03071428571428572,3140.233427071244,3132.3477337960644,5.308120108038305,2.501820908946366,stable,0.02122753875224211,0.0009866401742461923,chaotic,exponential,2.4277423031309726,0.411905332254719,0.8286606587196139,2.918549518358334,0.022278190926525054,
0.09214285714285714,0.009285714285714286,0.0,0.0,0.0,0.0,dead,,,,,,,,,,
0.08,0.032857142857142856,3168.1613458909314,3170.2750362565475,3.883094048005593,1.4647073878940755,stable,0.022371958697567997,0.0031611241663447288,chaotic,exponential,2.514195281328398,0.39774157855854414,0.7878671131871716,2.8028312217690674,0.05687785598408723,
0.08,0.035,3217.9109176159727,3213.547721824032,2.3808709059137856,1.0337386375173128,stable,0.021815194327179904,0.0010955369482277596,chaotic,exponential,2.5149666103881545,0.39761959298762306,0.7920845331504228,2.87835098917492,0.024241464902274856,
0.09214285714285714,0.013571428571428571,2606.1177437643178,2612.044529208529,4.591959914638278,4.125479147355247,stable,0.0624351741861155,0.002734538093580217,chaotic,exponential,1.3272477951315549,0.753438810497991,0.8293953559497662,3.0633303179587505,0.012800429603504249,
0.09214285714285714,0.01142857142857143,2490.3435692331823,2500.9478827817584,7.367341414493437,11.941518710320743,stable,0.06908389440406998,0.005379647053887877,chaotic,exponential,1.1757715565313536,0.8505053506738183,0.8614658843422448,3.2078974287979127,0.029795788318131455,
0.09214285714285714,0.015714285714285715,2731.4323026021398,2727.199699221036,2.500063232710431,4.239660991692709,stable,0.05669565473559607,0.006509250518832158,chaotic,exponential,1.4839076581858437,0.6738963806026538,0.8195163702526927,3.0251940540127444,0.020631305983741965,
0.09214285714285714,0.01785714285714286,2837.4896754189513,2837.6563433084834,3.2183045849383465,2.8148209100310253,stable,0.05042151560717408,0.002860821499051058,chaotic,exponential,1.6512327105294338,0.6056081578467342,0.8048144379340962,3.010073752803159,0.02679825238686928,
